date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:16	139502/139502	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:06%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/8-ball-pool	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/8-ball-pool.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:16	130226/130226	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:06%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-house/shaders4	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-house/shaders4.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:16	121623/121623	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:06%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:17	133007/133007	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:07%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/feeding-rng	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/feeding-rng.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:17	127640/127640	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:07%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/tic-tac-death	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/tic-tac-death.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:18	131107/131107	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:08%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/roll-for-time-to-die	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/roll-for-time-to-die.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:18	131760/131760	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:08%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/dode-the-rakers	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/dode-the-rakers.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:19	132107/132107	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:09%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/depression	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/depression.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:19	130433/130433	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:09%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/pong-of-souls	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/pong-of-souls.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
20:36:20	125756/125756	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2001:36:10%20GMT	https://sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/image-generation	C:/My%20Web%20Sites/hi/sites.google.com/apps.district196.org/total-darkness/games-from-the-closet/image-generation.html	(from https://sites.google.com/apps.district196.org/total-darkness/the-house)
